1AWR,C,I,2ALF,A
1CZY,ABC,DE,1CA4,ABC
1D4T,A,B,1D1Z,A
1DDV,A,B,1I2H,A
1EG4,A,P,1EG3,A
1ER8,E,I,4APE,A
1FM9,D,E,2HWQ,A
1GYB,AB,EF,1GY7,AB
1JD5,A,B,1JD4,A
1JWG,B,D,1JWF,A
1LVM,AC,E,1LVB,AC
1MFG,A,B,2H3L,A
1N7F,B,D,1N7E,A
1M7E,A,D,1P3R,A
1NVR,A,B,2X8D,A
1NX1,AB,CD,1ALV,AB
1JN5,AB,C,1JKG,AB
1SFI,A,I,1UTN,A
1SSH,A,B,1OOT,A
1T4F,M,P,1T4E,A
1T7R,A,B,2AM9,A
1W9E,A,T,1R6J,A
1X2R,A,B,1X2J,A
1YWO,A,P,1YWP,A
2B9H,A,C,2B9F,A
2C3I,B,A,2J2I,B
2CCH,AB,E,1H1R,AB
2DF6,B,D,2G6F,X
2DS8,AB,QP,2DS5,AB
2FMF,A,B,1JBE,A
2FOJ,A,B,2F1W,A
#2FVJ,A,B,2HWQ,A
2H9M,C,D,2H14,A
2HPL,A,B,2HPJ,A
2O4J,A,C,1IE9,A
2O9V,A,B,2O9S,A
2P54,A,B,2ZNN,A
2VJ0,A,PQ,1B9K,A
2ZJD,A,B,1UGM,A
3D1E,AB,P,3D1G,AB
3LNY,A,B,3LNX,A
1RXZ,A,B,1RWZ,A
2A3I,A,B,2AAX,A
